coral,genotype,nubbin,Tank,Sym Status,Treatment,Tank,PAM Day 2 A,PAM Day 2 B,PAM Day 2 C,PAM Day 2 Average,PAM Day 5 A,PAM Day 5 B,PAM Day 5 C,PAM Day 5 Average,PAM Day 8 A,PAM Day 8 B,PAM Day 8 C,PAM Day 8 Average,PAM Day 11 A,PAM Day 11 B,PAM Day 11 C,PAM Day 14 A,PAM Day 14 B,PAM Day 14 C
AO5,O,5,cold_1,B,Cold,1,0.501,0.495,0.516,0.504,0.409,0.4,0.436,0.415,0.451,0.482,0.416,0.449666667,NA,NA,NA,NA,NA,NA
AR2,R,2,cold_1,B,Cold,1,0.446,0.473,0.403,0.440666667,0.453,0.456,0.414,0.441,0.207,0.279,0.262,0.249333333,NA,NA,NA,NA,NA,NA
AT5,T,5,cold_1,B,Cold,1,0.44,0.589,0.561,0.53,0.301,0.379,0.352,0.344,0.37,0.381,0.35,0.367,NA,NA,NA,NA,NA,NA
AJ1,J,1,cold_2,B,Cold,2,0.419,0.329,0.461,0.403,0.462,0.513,0.487,0.487333333,0.441,0.343,0.408,0.397333333,NA,NA,NA,NA,NA,NA
AI5,I,5,cold_2,B,Cold,2,0.21,0.223,0.19,0.207666667,0.458,0.443,0.393,0.431333333,0.381,0.289,0.362,0.344,NA,NA,NA,NA,NA,NA
AB5,B,5,cold_2,B,Cold,2,0.515,0.521,0.443,0.493,0.364,0.436,0.443,0.414333333,0.314,0.38,0.344,0.346,NA,NA,NA,NA,NA,NA
AK3,K,3,cold_2,W,Cold,2,0.422,0.387,0.456,0.421666667,0.557,0.586,0.592,0.578333333,0.676,0.681,0.685,0.680666667,NA,NA,NA,NA,NA,NA
AC2,C,2,cold_2,W,Cold,2,0.481,0.461,0.507,0.483,0.397,0.375,0.404,0.392,0.618,0.635,0.689,0.647333333,NA,NA,NA,NA,NA,NA
AD8,D,8,cold_2,W,Cold,2,0.4,0.422,0.439,0.420333333,0.535,0.618,0.633,0.595333333,0.33,0.249,0.277,0.285333333,NA,NA,NA,NA,NA,NA
AG4,G,4,cold_2,W,Cold,2,0.471,0.388,0.394,0.417666667,0.436,0.428,0.405,0.423,0.362,0.452,0.417,0.410333333,NA,NA,NA,NA,NA,NA
AL1,L,1,cold_2,B,Cold,2,0.458,0.454,0.41,0.440666667,0.468,0.43,0.435,0.444333333,0.341,0.361,0.351,0.351,NA,NA,NA,NA,NA,NA
AQ6,Q,6,cold_2,B,Cold,2,0.481,0.538,0.463,0.494,0.459,0.441,0.388,0.429333333,0.312,0.312,0.328,0.317333333,NA,NA,NA,NA,NA,NA
AS5,S,5,cold_2,B,Cold,2,0.414,0.34,0.318,0.357333333,0.401,0.466,0.427,0.431333333,0.333,0.288,0.352,0.324333333,NA,NA,NA,NA,NA,NA
AT4,T,4,cold_2,B,Cold,2,0.465,0.476,0.404,0.448333333,0.479,0.472,0.495,0.482,0.468,0.38,0.476,0.441333333,NA,NA,NA,NA,NA,NA
AJ2,J,2,cold_3,B,Cold,3,0.498,0.511,0.506,0.505,0.356,0.382,0.469,0.402333333,0.425,0.349,0.381,0.385,NA,NA,NA,NA,NA,NA
AI4,I,4,cold_3,B,Cold,3,0.363,0.368,0.388,0.373,0.469,0.353,0.398,0.406666667,0.424,0.479,0.38,0.427666667,NA,NA,NA,NA,NA,NA
AF8,F,8,cold_3,B,Cold,3,0.385,0.358,0.485,0.409333333,0.464,0.552,0.518,0.511333333,0.433,0.413,0.433,0.426333333,NA,NA,NA,NA,NA,NA
AP1,P,1,cold_3,W,Cold,3,0.4,0.347,0.345,0.364,0.561,0.576,0.525,0.554,0.234,0.307,0.331,0.290666667,NA,NA,NA,NA,NA,NA
AC5,C,5,cold_3,W,Cold,3,0.423,0.329,0.415,0.389,0.372,0.39,0.382,0.381333333,0.605,0.646,0.597,0.616,NA,NA,NA,NA,NA,NA
AE2,E,2,cold_3,W,Cold,3,0.408,0.369,0.375,0.384,0.567,0.576,0.528,0.557,0.438,0.476,0.406,0.44,NA,NA,NA,NA,NA,NA
AG3,G,3,cold_3,W,Cold,3,0.445,0.433,0.434,0.437333333,0.322,0.369,0.371,0.354,0.36,0.399,0.324,0.361,NA,NA,NA,NA,NA,NA
AN2,N,2,cold_3,B,Cold,3,0.435,0.4,0.496,0.443666667,0.442,0.418,0.448,0.436,0.344,0.411,0.384,0.379666667,NA,NA,NA,NA,NA,NA
AR3,R,3,cold_3,B,Cold,3,0.477,0.446,0.449,0.457333333,0.428,0.516,0.44,0.461333333,0.33,0.447,0.359,0.378666667,NA,NA,NA,NA,NA,NA
AS2,S,2,cold_3,B,Cold,3,0.502,0.525,0.427,0.484666667,0.44,0.396,0.46,0.432,0.327,0.357,0.33,0.338,NA,NA,NA,NA,NA,NA
