"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL2235"	163	155	101	141	64	96	76	67	37	65	137	128	138	89	130	89	48	117	38	123	12	4	0	0	2	1	0	5	8	1	5	2	5	4	3	1	3	2	1	6	0	3	3	5	8	14	11	4	9	1	5	9	14	4	2	8	4	9	9	5	4	1	2	8	0	3	13	34	3	4	9	6	4	3
"ORTHOMCL7902"	208	222	119	240	105	163	80	116	104	169	202	245	197	143	208	148	92	174	105	198	17	2	6	2	25	3	2	0	1	3	3	1	27	16	15	0	1	1	1	1	0	2	2	2	25	6	22	3	1	0	6	2	10	4	2	2	4	1	9	7	3	2	4	9	1	3	6	18	2	5	4	0	2	1
"ORTHOMCL5536"	217	212	75	235	72	145	94	108	126	148	318	195	155	100	156	122	88	124	78	154	2	2	5	3	3	4	7	6	11	5	6	2	0	1	2	5	6	4	1	6	3	3	0	4	0	8	0	10	0	0	6	9	9	7	5	7	6	6	8	5	1	1	3	7	2	1	2	4	1	1	3	4	3	2
"ORTHOMCL2374"	62	60	27	57	25	42	27	41	38	51	88	60	45	29	44	34	23	42	33	35	43	3	41	4	59	1	67	1	101	3	107	3	32	87	115	46	0	39	3	107	7	49	21	114	228	4	51	2	61	3	157	6	82	6	69	5	109	4	72	2	65	3	127	232	34	57	95	150	64	1	49	2	17	1
"ORTHOMCL8696"	258	233	179	199	136	177	109	136	110	127	240	225	205	286	212	196	112	206	130	219	111	2	66	5	131	1	97	2	224	3	64	0	188	97	102	39	0	163	1	101	3	138	126	165	190	1	202	1	89	1	183	2	219	7	45	4	64	5	164	2	61	3	147	486	57	108	115	447	84	0	187	3	37	1
"ORTHOMCL3377"	124	141	84	146	64	90	75	89	96	104	160	182	122	64	92	91	52	105	66	114	18	4	1	5	4	5	8	1	61	3	6	0	32	7	15	2	1	11	1	9	1	7	12	9	11	6	46	3	5	1	12	0	35	2	2	1	4	4	14	2	5	1	6	54	4	4	9	38	7	1	18	2	3	1
"ORTHOMCL1650.1"	200	170	119	198	89	121	101	102	87	117	187	202	190	151	235	145	106	213	131	197	1	1	0	1	2	7	7	17	3	9	1	5	5	4	6	1	5	3	6	6	20	2	4	7	9	21	4	14	1	11	1	14	5	7	0	12	2	10	3	18	1	4	2	16	5	7	7	4	6	15	0	4	5	18
"ORTHOMCL8945"	209	194	111	212	89	168	90	103	149	191	295	307	185	166	158	135	94	176	111	168	37	0	17	2	28	1	36	2	41	2	27	3	53	32	43	10	1	41	2	45	2	32	25	41	80	9	54	4	21	0	69	2	89	6	24	3	29	1	56	7	22	1	43	155	29	24	33	75	42	3	54	2	13	0
"ORTHOMCL5591"	180	225	107	223	108	149	94	118	111	160	251	261	190	204	224	203	111	230	120	226	21	2	7	5	11	2	16	1	59	5	19	2	49	14	29	6	3	36	2	19	5	14	21	22	36	5	43	3	6	0	30	6	64	9	6	7	11	1	44	1	9	2	26	144	6	15	24	167	13	5	43	3	7	2
"ORTHOMCL5428"	259	303	183	250	152	230	125	146	104	194	261	283	232	231	245	209	125	220	138	239	15	3	6	5	11	7	14	3	35	13	9	7	28	9	13	4	4	20	5	22	2	8	15	20	13	13	35	12	10	1	15	7	62	5	6	7	11	5	28	10	10	6	17	62	4	13	24	48	11	2	21	2	6	3
