	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts
Sym_100536_c1_g2	0	0	1	1	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	2	2	1
Sym_100536_c1_g4	0	2	1	2	2	1	2	5	0	2	1	3	0	1	1	2	8	2	6	3	2	3	3	6	0	0	1	3	2	2	0	2	6	0	0	0	0	0	0	0	2	6	0	6	2	1	0
Sym_100539_c0_g1	0	4	0	0	1	4	2	3	2	0	3	0	0	1	5	0	3	0	3	2	1	0	1	2	0	0	1	2	4	1	1	1	4	0	0	0	0	0	0	0	4	3	0	6	1	0	2
Sym_100541_c0_g1	0	0	0	0	1	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0
Sym_100546_c0_g1	0	0	3	1	0	1	0	1	0	0	0	1	0	1	3	0	0	1	3	0	1	0	0	1	0	0	0	1	2	1	1	3	3	0	0	0	0	0	0	0	2	0	0	0	1	1	0
Sym_100571_c0_g1	0	3	0	3	3	1	0	1	1	1	1	3	2	1	1	2	2	1	2	2	0	2	1	1	0	0	0	4	0	1	3	1	1	1	0	0	0	0	0	0	0	1	0	4	0	0	2
Sym_100572_c0_g3	0	5	1	1	2	1	0	0	0	1	1	1	2	1	2	0	3	3	6	0	0	2	3	2	0	0	0	2	3	2	5	0	3	0	0	1	0	0	0	0	5	3	0	3	0	0	2
Sym_100588_c0_g2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sym_10059_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sym_100611_c0_g1	0	1	5	2	2	1	4	3	0	1	2	2	3	0	3	1	2	1	6	3	1	3	3	5	0	0	1	1	1	5	4	2	10	0	0	0	0	0	0	0	5	5	0	2	1	7	1
Sym_100611_c0_g2	0	4	5	9	5	3	6	4	3	0	1	1	10	1	2	1	3	1	6	4	0	6	5	5	2	0	0	7	7	3	3	5	14	1	0	0	0	0	2	0	5	12	0	8	3	10	1
Sym_100629_c0_g1	2	67	55	10	43	37	18	41	28	11	37	27	38	10	39	11	76	30	59	39	24	67	62	46	3	4	5	44	25	26	90	25	63	10	2	4	0	1	9	1	39	40	1	52	22	28	14
Sym_100635_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100639_c0_g1	1	15	3	0	2	3	6	9	7	0	4	0	3	0	0	2	3	1	8	8	1	4	8	10	1	1	0	9	5	3	9	3	8	2	0	0	0	1	0	0	1	8	1	7	1	3	2
Sym_100639_c1_g1	0	2	6	3	5	1	2	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	2	1	0	0	0	1	2	2	1	1	2	0	0	0	0	0	0	0	1	1	0	2	3	3	2
Sym_100639_c2_g1	0	1	2	1	3	1	0	5	1	1	1	2	0	0	4	0	3	0	4	1	1	2	1	1	0	1	1	2	0	1	2	1	10	0	0	0	0	0	0	0	4	14	0	6	5	4	1
Sym_100642_c0_g1	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sym_100645_c0_g1	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Sym_100665_c0_g1	0	3	0	2	2	3	2	6	2	1	1	2	1	0	1	1	3	1	0	4	0	3	3	3	0	0	0	2	2	1	2	1	2	0	1	0	0	0	0	0	1	4	0	4	0	4	0
Sym_100679_c0_g1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Sym_100693_c0_g1	3	0	0	0	0	1	7	0	2	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	22	2	0	4	0	0
Sym_100694_c0_g1	0	0	1	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	2	1	1	1	1	2	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0
