	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts
Oarb_101669_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oarb_101670_c0_g1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Oarb_101671_c3_g1	0	3	24	8	5	3	3	18	11	1	3	2	4	5	7	3	9	1	20	1	4	2	1	1	1	2	1	2	1	1	0	0	1	6	17	0	10	5	6	3	0	3	0	8	9	25	3
Oarb_101672_c1_g1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	1	2	1	0	4	1	0	0	0	1	0	0	0	7	0	3	1	3	1	2	0	0	2	1	2	0
Oarb_101684_c1_g2	0	0	0	0	0	0	3	8	0	5	1	0	0	2	2	1	0	0	1	0	0	0	2	0	1	1	3	0	1	0	0	0	0	2	8	3	1	5	2	2	6	2	0	4	0	2	0
Oarb_101684_c2_g1	2	5	11	8	9	21	16	35	11	22	13	15	2	13	13	14	42	17	43	30	17	13	33	9	11	15	15	14	30	11	22	2	5	13	45	9	16	7	13	6	8	21	16	67	22	5	6
Oarb_101687_c0_g1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Oarb_101729_c0_g1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	4	0	1	0	1	0	0	2	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	6	0	1	0	1	0	3	0	2	0
Oarb_101730_c0_g1	0	0	1	1	1	1	0	2	0	2	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	1	0	0	0
Oarb_101736_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oarb_101738_c4_g2	0	2	2	7	7	6	0	0	3	5	1	1	0	0	3	1	2	2	3	2	1	4	5	6	1	3	1	1	3	3	1	0	5	2	17	3	10	7	2	9	1	0	1	1	3	2	2
Oarb_101749_c0_g1	0	0	0	0	1	1	1	1	3	0	1	2	1	1	0	0	1	1	3	0	0	2	5	0	0	2	0	0	0	0	1	0	1	0	4	2	0	1	3	0	0	1	0	1	0	2	1
Oarb_101749_c0_g2	0	7	0	0	0	0	0	1	0	0	1	1	0	1	3	0	2	1	3	0	1	1	1	0	0	1	2	2	0	2	3	4	6	5	12	2	4	6	2	0	4	1	0	5	2	7	1
Oarb_101749_c0_g4	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Oarb_101756_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	6	0	1	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Oarb_101762_c0_g1	3	4	10	3	9	11	8	1	3	0	11	21	4	0	10	1	12	0	19	1	6	5	2	5	0	2	3	2	1	6	10	0	8	5	11	1	10	2	14	4	15	15	2	5	4	1	1
Oarb_101763_c0_g1	1	19	27	6	13	11	10	6	18	0	11	28	11	4	22	2	45	22	49	7	28	31	13	18	1	7	10	25	11	10	32	4	15	19	7	4	28	5	21	9	13	26	18	8	15	29	34
Oarb_101765_c1_g1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Oarb_101765_c1_g2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Oarb_101770_c0_g1	0	0	3	0	1	0	1	0	0	2	0	2	0	0	3	0	1	0	6	3	0	4	0	0	0	0	1	1	2	0	3	0	2	0	1	0	2	1	2	0	0	1	0	0	1	1	0
