"","C4","C5","C9","D4","D5","D6","E10","E11","E3","F7","F8","F9","H1","I1","I2","I3","J13","J14","J15","K2","K3","L6","M2","M3","N4","O2","Q1","Q11","Q4","R7","R8"
"evm.TU.chromosome_14.954",0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,2,0,1,0,0,0,0,0,0,1,2,1,1
"evm.TU.chromosome_14.955",12,5,11,14,16,10,13,14,5,11,17,22,15,43,15,10,19,20,12,28,5,16,14,8,17,22,7,15,31,14,18
"evm.TU.chromosome_14.956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
"evm.TU.chromosome_14.957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.959",1,1,1,3,2,1,1,0,1,3,1,1,1,4,1,2,1,1,1,0,0,3,0,1,2,1,1,1,3,0,1
"evm.TU.chromosome_14.96",0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"evm.TU.chromosome_14.960",0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,1,1
"evm.TU.chromosome_14.961",4,1,6,5,2,2,10,1,8,4,4,9,7,7,4,2,7,10,11,2,3,2,2,0,6,7,3,25,13,0,6
"evm.TU.chromosome_14.962",75,8,86,33,153,19,154,26,33,39,280,58,105,111,128,21,95,286,20,159,17,109,131,8,136,306,50,24,551,44,195
"evm.TU.chromosome_14.963",3,1,5,0,0,0,15,5,1,0,7,1,4,7,12,0,8,25,0,4,1,2,3,0,3,19,1,4,23,4,6
"evm.TU.chromosome_14.964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"evm.TU.chromosome_14.965",1,2,1,1,2,1,0,2,1,1,0,5,4,10,1,7,2,2,8,0,2,5,1,1,5,0,0,3,0,0,3
"evm.TU.chromosome_14.966",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"evm.TU.chromosome_14.967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.968",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
